,Name_left,AuthorId,PaperYear,PaperId,Year_paper,Name_right,CitesFrom,Year_citation,PaperCount
162,Veronica Guerrieri,162052195,2018,3125891799.0,2012.0,Veronica Guerrieri,3125550525.0,2014.0,1219
133,Hamish Low,2111800362,2018,3125845993.0,2008.0,Hamish Low,3122762404.0,2015.0,1214
107,Simon Board,2106744156,2018,3125194970.0,2008.0,Simon Board,2151665098.0,2010.0,410
232,Seema Jayachandran,2041362166,2018,3151454100.0,2015.0,Seema Jayachandran,2511975319.0,2016.0,1637
90,Gita Gopinath,1907944430,2019,3125965835.0,2015.0,Gita Gopinath,2260890381.0,2015.0,3460
271,Paul Beaudry,2239284151,2019,2249222761.0,1986.0,Paul Beaudry,3015719166.0,1993.0,189
289,Roland Bénabou,2275667347,2020,3173730816.0,2000.0,Roland Bénabou,2904083367.0,2017.0,16610
240,Rajiv Sethi,2203388156,2020,3125961711.0,2003.0,Rajiv Sethi,3126002686.0,2012.0,2118
290,Jesse Rothstein,2119555427,2020,3160472551.0,2021.0,Jesse Rothstein,3100863980.0,2020.0,4502
293,Jonathan Parker,2476883755,2020,3088087806.0,2020.0,Jonathan Parker,3094094931.0,2020.0,186
291,Debraj Ray,3167509631,2020,2185006153.0,2015.0,Debraj Ray,3128952340.0,2020.0,13
193,Thomas Lemieux,3174988315,2020,2160803192.0,2005.0,Thomas Lemieux,3123464947.0,2009.0,7
191,Craig Burnside,2132036247,2020,3144136317.0,2011.0,Craig Burnside,3126053185.0,2013.0,1834
14,Navin Kartik,1362851725,2020,3125842558.0,2012.0,Navin Kartik,3208171170.0,2020.0,1812
228,Stefanie Stantcheva,2501900208,2020,3193888791.0,2018.0,Stefanie Stantcheva,3081926021.0,2020.0,1084
219,Arvind Krishnamurthy,2610014047,2021,3120671844.0,2021.0,Arvind Krishnamurthy,3175385219.0,2021.0,693
23,Federico Echenique,1953621418,2021,3209037820.0,2021.0,Federico Echenique,3093381645.0,2021.0,2075
10,Balázs Szentes,2303016330,2021,3140120535.0,2007.0,Balázs Szentes,3124101874.0,2010.0,905
244,Amir Sufi,1934535612,2021,3204553836.0,2020.0,Amir Sufi,3024221540.0,2021.0,12417
41,Alireza Tahbaz-Salehi,181723794,2021,3217645691.0,2021.0,Alireza Tahbaz-Salehi,3022789928.0,2020.0,3955
74,Fabrizio Perri,2561815673,2021,2756758063.0,2017.0,Fabrizio Perri,3198221592.0,2021.0,18
161,Bård Harstad,2166406133,2021,3162941784.0,2018.0,Bård Harstad,2962848322.0,2019.0,996
106,Steven Callander,2170882167,2021,3172394208.0,2021.0,Steven Callander,3134682621.0,2021.0,987
207,Brent Neiman,1320884576,2022,3159624749.0,2020.0,Brent Neiman,3204562562.0,2021.0,2629
117,Ariel Burstein,2303407598,2022,3155504772.0,2020.0,Ariel Burstein,3208643435.0,2021.0,3589
153,Pierre-Olivier Gourinchas,2235502167,2022,3177099919.0,2014.0,Pierre-Olivier Gourinchas,3124359287.0,2015.0,8325
66,Thomas Philippon,329855202,2022,3213330036.0,2021.0,Thomas Philippon,3212616064.0,2021.0,7858
53,Bruno Strulovici,1991270300,2022,3125915936.0,2016.0,Bruno Strulovici,3213232676.0,2021.0,702
149,Philip Oreopoulos,3174881420,2022,2983161127.0,2019.0,Philip Oreopoulos,2892212751.0,2020.0,5
97,Liran Einav,129783993,2022,3178820412.0,2021.0,Liran Einav,3217056707.0,2021.0,6367
98,Brian Knight,2139857079,2022,3130771986.0,2021.0,Brian Knight,3206963022.0,2021.0,386
274,Qingmin Liu,2100649734,2023,2257520754.0,2012.0,Qingmin Liu,3164876824.0,2021.0,478
297,Aleh Tsyvinski,261802267,2023,3162784908.0,2009.0,Aleh Tsyvinski,3121638644.0,2015.0,2755
256,Marina Halac,2011811955,2023,3134450821.0,2021.0,Marina Halac,3151260715.0,2021.0,542
264,Emmanuel Saez,2169648137,2023,3214935256.0,2020.0,Emmanuel Saez,3178910236.0,2021.0,25611
277,Oleg Itskhoki,42956661,2023,3185430878.0,2018.0,Oleg Itskhoki,3194511298.0,2021.0,2735
278,Mikhail Golosov,3142102792,2023,2326297067.0,2012.0,Mikhail Golosov,3124818321.0,2021.0,7
248,Heski Bar-Isaac,2570152181,2023,3164063773.0,2019.0,Heski Bar-Isaac,3106109874.0,2021.0,953
292,Charles Sprenger,2137205183,2023,3124290765.0,2020.0,Charles Sprenger,3206453026.0,2021.0,2573
0,Vasiliki Skreta,2582194174,2023,3171088360.0,2018.0,Vasiliki Skreta,3112640919.0,2020.0,1027
115,Ryan Oprea,1267476164,2023,3201398635.0,2021.0,Ryan Oprea,3214183179.0,2021.0,876
105,James Roberts,3004612714,2023,3013565753.0,2020.0,James Roberts,3100386461.0,2021.0,64
